OPER_DT,BOR_CD,ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
20180614,1135,11350619,102.2%,33.0%,22.7%,35.2%,1.6%,4.2%,1.8%,1.1%,0.4%
20180614,1135,11350621,74.9%,32.7%,18.9%,37.9%,4.6%,4.6%,0.5%,0.5%,0.4%
20180614,1135,11350624,83.1%,28.6%,17.1%,34.8%,7.4%,4.9%,0.1%,0.5%,6.6%
20180614,1135,11350625,136.0%,34.1%,18.5%,38.8%,1.3%,5.9%,0.6%,0.5%,0.3%
20180614,1135,11350630,84.2%,29.5%,19.0%,39.4%,1.5%,7.4%,0.4%,0.6%,2.2%
20180614,1135,11350640,125.6%,34.2%,19.2%,34.8%,2.3%,7.5%,1.0%,0.9%,0.2%
20180614,1135,11350665,72.6%,47.4%,16.1%,27.0%,4.7%,3.9%,0.6%,0.3%,
20180614,1135,11350670,77.7%,34.5%,18.8%,36.1%,1.8%,3.1%,1.1%,0.2%,4.4%
20180614,1135,11350695,96.8%,27.0%,22.2%,36.3%,4.6%,7.4%,0.4%,0.5%,1.7%
20180614,1135,11350700,123.2%,35.3%,28.1%,33.3%,0.6%,1.6%,,,1.1%
20180614,1135,11350710,94.3%,34.0%,22.1%,35.0%,1.5%,3.8%,0.2%,0.2%,3.2%
20180614,1135,11350720,80.3%,31.9%,20.3%,35.9%,3.1%,7.6%,0.0%,0.6%,0.6%
20180615,1111,11110515,81.6%,30.7%,27.6%,35.6%,2.0%,2.4%,0.6%,0.5%,0.6%
20180615,1111,11110530,151.8%,24.5%,22.2%,42.2%,1.6%,6.7%,0.3%,1.4%,1.0%
20180615,1111,11110540,73.6%,18.7%,20.0%,42.3%,2.5%,11.4%,,4.8%,0.4%
20180615,1111,11110550,183.7%,42.4%,21.9%,28.4%,2.3%,3.4%,0.5%,1.1%,0.1%
20180615,1111,11110560,109.8%,40.7%,18.8%,31.4%,5.2%,3.1%,,0.7%,0.1%
20180615,1111,11110570,233.0%,26.5%,25.8%,36.0%,3.5%,6.6%,0.7%,0.8%,0.0%
20180615,1111,11110580,97.0%,39.3%,19.2%,32.9%,1.5%,5.1%,,1.8%,0.1%
20180615,1111,11110600,123.5%,26.4%,22.8%,40.2%,1.7%,5.1%,0.1%,3.5%,0.3%
20180615,1111,11110615,190.3%,27.0%,19.2%,43.4%,2.3%,6.2%,0.3%,1.3%,0.2%
20180615,1111,11110630,100.4%,26.1%,18.1%,47.9%,2.0%,4.0%,0.5%,1.1%,0.2%
20180615,1111,11110640,119.4%,26.5%,21.9%,39.4%,4.3%,5.3%,0.2%,1.8%,0.5%
20180615,1111,11110650,120.3%,33.5%,18.0%,36.1%,3.0%,6.1%,0.4%,2.8%,0.1%
20180615,1111,11110670,93.4%,36.6%,16.0%,39.1%,1.0%,4.0%,1.9%,1.2%,0.3%
20180615,1111,11110680,102.2%,37.2%,17.1%,37.2%,1.7%,3.6%,1.4%,1.7%,0.0%
20180615,1111,11110690,64.6%,19.4%,26.3%,48.6%,0.1%,2.8%,2.3%,0.5%,
20180615,1111,11110700,126.3%,33.8%,21.7%,36.2%,4.2%,2.3%,1.4%,0.2%,0.2%
20180615,1111,11110710,119.0%,31.7%,18.6%,37.3%,3.6%,6.0%,0.8%,1.9%,0.3%
20180615,1135,11350560,103.2%,35.7%,19.3%,36.7%,2.9%,3.5%,0.5%,1.0%,0.3%
20180615,1135,11350570,99.7%,32.2%,22.1%,38.4%,2.1%,2.8%,0.6%,0.9%,0.9%
20180615,1135,11350580,116.0%,27.7%,24.5%,41.5%,1.5%,3.1%,0.6%,0.3%,0.7%
20180615,1135,11350595,81.7%,32.4%,19.7%,39.7%,3.2%,3.5%,0.3%,0.8%,0.4%
20180615,1135,11350600,90.2%,32.4%,22.2%,36.9%,2.1%,3.6%,0.6%,1.3%,0.7%
20180615,1135,11350611,153.7%,32.5%,24.4%,36.6%,2.3%,2.8%,0.7%,0.3%,0.5%
20180615,1135,11350612,142.2%,31.3%,27.3%,33.6%,1.1%,3.2%,0.6%,1.4%,1.5%
20180615,1135,11350619,108.8%,28.5%,26.9%,37.7%,1.9%,2.7%,0.4%,1.5%,0.5%
20180615,1135,11350621,87.2%,28.6%,24.2%,40.1%,3.9%,2.2%,0.4%,0.1%,0.5%
20180615,1135,11350624,88.6%,27.7%,22.7%,46.5%,-0.1%,2.4%,,0.7%,0.2%
20180615,1135,11350625,149.5%,34.1%,21.1%,39.1%,1.1%,2.7%,0.4%,1.2%,0.4%
20180615,1135,11350630,90.4%,27.2%,21.2%,44.7%,1.6%,3.3%,0.5%,1.0%,0.5%
20180615,1135,11350640,137.1%,33.7%,20.2%,38.4%,1.7%,4.5%,0.4%,1.0%,0.2%
20180615,1135,11350665,75.5%,43.2%,19.6%,29.9%,3.6%,2.5%,0.3%,0.1%,0.9%
20180615,1135,11350670,90.9%,34.6%,19.3%,38.3%,3.1%,2.2%,0.3%,1.8%,0.4%
20180615,1135,11350695,106.9%,29.4%,22.6%,38.9%,3.4%,3.8%,0.3%,1.1%,0.6%
20180615,1135,11350700,139.4%,30.5%,27.7%,31.8%,2.4%,5.8%,,0.3%,1.5%
20180615,1135,11350710,98.0%,28.3%,26.3%,40.5%,0.2%,2.5%,0.8%,0.7%,0.8%
20180615,1135,11350720,82.0%,26.7%,22.9%,41.2%,3.0%,4.1%,0.7%,1.3%,0.2%
20180616,1111,11110515,90.2%,25.7%,24.8%,41.8%,2.2%,3.8%,0.1%,0.8%,0.7%
20180616,1111,11110530,126.7%,20.8%,24.6%,40.8%,2.2%,8.1%,1.0%,1.8%,0.8%
20180616,1111,11110540,95.6%,20.4%,18.3%,45.6%,3.2%,10.4%,,1.7%,0.4%
20180616,1111,11110550,154.3%,34.5%,23.7%,32.3%,2.6%,3.7%,0.5%,2.2%,0.4%
20180616,1111,11110560,121.1%,38.5%,23.6%,29.0%,3.0%,3.0%,1.5%,1.2%,0.2%
20180616,1111,11110570,239.0%,25.4%,23.9%,37.9%,4.8%,4.7%,1.0%,2.0%,0.3%
20180616,1111,11110580,100.5%,31.0%,18.1%,36.2%,6.1%,3.9%,0.7%,3.8%,0.1%
20180616,1111,11110600,135.7%,23.4%,25.8%,38.7%,2.4%,6.9%,0.5%,1.7%,0.5%
20180616,1111,11110615,168.5%,23.4%,21.5%,43.3%,1.9%,7.3%,0.4%,2.0%,0.2%
20180616,1111,11110630,93.0%,21.8%,20.6%,46.3%,2.5%,4.6%,0.3%,3.5%,0.4%
20180616,1111,11110640,145.2%,20.8%,22.2%,44.9%,3.4%,7.0%,0.3%,1.4%,0.2%
20180616,1111,11110650,127.9%,28.6%,19.1%,39.5%,4.4%,6.0%,0.9%,1.5%,0.1%
20180616,1111,11110670,95.8%,31.5%,16.9%,41.9%,1.3%,4.0%,0.5%,3.7%,0.2%
20180616,1111,11110680,116.3%,42.7%,11.7%,36.5%,2.6%,4.9%,0.9%,0.8%,
20180616,1111,11110690,37.0%,17.5%,23.5%,52.7%,0.9%,4.6%,,0.5%,0.2%
20180616,1111,11110700,130.5%,37.2%,19.4%,37.0%,1.6%,3.8%,0.9%,0.1%,0.1%
20180616,1111,11110710,133.1%,28.1%,19.4%,41.3%,3.9%,4.6%,0.4%,2.0%,0.3%
20180616,1135,11350560,102.1%,32.6%,23.1%,36.3%,2.5%,3.8%,0.5%,0.8%,0.4%
20180616,1135,11350570,110.4%,32.9%,20.3%,40.3%,1.6%,3.3%,0.4%,0.3%,0.9%
20180616,1135,11350580,128.2%,24.4%,26.1%,42.2%,2.4%,3.6%,0.4%,0.3%,0.6%
20180616,1135,11350595,78.2%,28.7%,20.0%,41.9%,2.7%,4.0%,0.9%,1.3%,0.5%
20180616,1135,11350600,102.5%,30.3%,23.2%,38.0%,1.9%,4.2%,0.6%,1.3%,0.5%
20180616,1135,11350611,148.2%,32.6%,22.7%,39.3%,1.8%,2.7%,0.4%,0.4%,0.2%
20180616,1135,11350612,184.0%,30.8%,28.1%,36.9%,1.1%,2.0%,0.1%,0.5%,0.6%
20180616,1135,11350619,136.8%,26.2%,25.6%,42.0%,1.4%,3.1%,0.5%,0.7%,0.5%
20180616,1135,11350621,96.8%,29.4%,20.8%,43.7%,2.2%,2.4%,0.5%,0.5%,0.4%
20180616,1135,11350624,109.0%,24.7%,23.0%,43.9%,3.4%,2.7%,0.9%,0.6%,0.8%
20180616,1135,11350625,157.3%,29.4%,21.2%,42.5%,2.3%,3.1%,0.2%,0.7%,0.5%
20180616,1135,11350630,100.2%,23.9%,22.7%,45.5%,2.2%,3.9%,0.4%,1.0%,0.4%
20180616,1135,11350640,155.6%,30.6%,21.4%,40.0%,1.6%,4.7%,0.6%,0.8%,0.3%
20180616,1135,11350665,78.8%,43.2%,18.2%,29.2%,0.5%,6.0%,0.7%,0.8%,1.4%
20180616,1135,11350670,86.3%,35.3%,19.3%,38.2%,2.2%,3.3%,0.7%,0.2%,0.8%
20180616,1135,11350695,118.3%,27.0%,25.1%,39.6%,2.2%,4.3%,0.4%,0.8%,0.6%
20180616,1135,11350700,159.8%,36.8%,17.1%,40.4%,1.2%,3.0%,0.3%,0.2%,1.0%
20180616,1135,11350710,115.5%,29.7%,24.0%,40.1%,1.6%,2.5%,1.0%,0.2%,0.8%
20180616,1135,11350720,97.6%,29.6%,23.2%,40.3%,0.9%,3.7%,0.4%,1.4%,0.6%
20180617,1111,11110515,106.5%,28.7%,27.3%,35.6%,2.7%,4.2%,0.4%,0.8%,0.3%
20180617,1111,11110530,148.0%,22.3%,25.8%,36.9%,2.7%,8.6%,1.3%,1.4%,1.1%
20180617,1111,11110540,86.1%,19.4%,18.8%,46.8%,3.1%,7.2%,,3.5%,1.2%
20180617,1111,11110550,148.3%,39.8%,22.8%,30.1%,2.6%,3.4%,0.3%,0.9%,0.2%
20180617,1111,11110560,122.7%,40.2%,23.9%,28.6%,2.2%,3.3%,1.2%,0.4%,0.1%
20180617,1111,11110570,208.8%,30.7%,23.1%,36.5%,3.7%,4.3%,0.1%,1.1%,0.4%
20180617,1111,11110580,109.3%,37.9%,19.4%,30.1%,7.5%,4.8%,,0.3%,0.1%
20180617,1111,11110600,117.7%,27.2%,19.9%,41.9%,2.5%,6.4%,0.4%,1.0%,0.7%
20180617,1111,11110615,142.8%,27.1%,20.7%,39.7%,2.6%,7.5%,0.5%,1.7%,0.3%
20180617,1111,11110630,69.3%,26.4%,19.2%,46.0%,3.0%,4.0%,0.3%,0.8%,0.3%
20180617,1111,11110640,131.9%,22.8%,20.7%,39.9%,5.6%,8.5%,0.2%,1.7%,0.6%
20180617,1111,11110650,117.2%,34.0%,20.4%,34.3%,2.9%,5.5%,0.8%,1.8%,0.1%
20180617,1111,11110670,93.1%,31.7%,21.8%,39.0%,1.2%,3.7%,1.0%,1.5%,
20180617,1111,11110680,107.0%,43.3%,16.0%,30.0%,1.5%,2.2%,4.6%,2.4%,
20180617,1111,11110690,31.7%,17.5%,19.5%,57.7%,0.4%,2.5%,,2.2%,0.1%
20180617,1111,11110700,111.1%,37.0%,20.3%,35.6%,2.9%,3.7%,0.1%,0.4%,0.1%
20180617,1111,11110710,123.5%,27.3%,19.8%,43.6%,3.2%,4.3%,0.3%,1.3%,0.2%
20180617,1135,11350560,99.0%,34.8%,21.6%,36.7%,1.8%,3.5%,0.7%,0.5%,0.3%
20180617,1135,11350570,102.1%,36.3%,21.5%,35.7%,1.6%,3.3%,0.5%,0.4%,0.6%
20180617,1135,11350580,120.0%,26.9%,28.3%,39.1%,1.6%,2.5%,0.1%,0.8%,0.7%
20180617,1135,11350595,76.0%,31.6%,21.4%,38.3%,2.4%,4.4%,0.4%,1.0%,0.5%
20180617,1135,11350600,96.9%,32.1%,23.3%,36.0%,3.0%,3.8%,0.8%,0.6%,0.4%
20180617,1135,11350611,145.0%,34.8%,22.7%,36.7%,1.8%,2.7%,0.4%,0.6%,0.2%
20180617,1135,11350612,152.6%,32.9%,29.0%,33.2%,0.3%,2.9%,0.5%,1.1%,0.2%
20180617,1135,11350619,124.7%,29.3%,25.9%,37.8%,1.2%,3.7%,1.0%,0.5%,0.5%
20180617,1135,11350621,83.3%,27.9%,21.7%,42.8%,2.0%,3.7%,0.8%,0.5%,0.5%
20180617,1135,11350624,105.2%,26.0%,23.0%,42.4%,3.2%,3.7%,0.1%,0.5%,1.1%
20180617,1135,11350625,141.6%,34.1%,20.9%,38.7%,1.5%,2.9%,0.6%,0.6%,0.7%
20180617,1135,11350630,86.4%,27.1%,23.1%,41.8%,1.6%,4.1%,0.7%,0.6%,0.8%
20180617,1135,11350640,150.6%,31.0%,22.5%,38.5%,2.1%,3.9%,0.6%,0.7%,0.7%
20180617,1135,11350665,77.2%,44.8%,20.2%,26.0%,2.9%,2.8%,0.7%,1.8%,0.8%
20180617,1135,11350670,88.3%,38.0%,18.9%,36.7%,1.4%,3.4%,0.2%,0.4%,1.0%
20180617,1135,11350695,114.8%,27.7%,22.7%,35.7%,7.2%,3.9%,0.5%,0.9%,1.2%
20180617,1135,11350700,140.2%,30.4%,22.9%,39.3%,2.9%,3.2%,0.7%,,0.6%
20180617,1135,11350710,99.7%,28.1%,24.4%,40.6%,1.7%,2.7%,1.0%,0.7%,0.7%
20180617,1135,11350720,89.2%,30.2%,24.2%,38.3%,1.2%,4.3%,0.7%,0.7%,0.4%
20180618,1111,11110515,95.7%,32.3%,25.9%,35.7%,2.3%,2.5%,,1.0%,0.3%
20180618,1111,11110530,152.7%,26.3%,22.6%,41.6%,1.9%,5.9%,0.6%,0.4%,0.6%
20180618,1111,11110540,65.6%,17.7%,29.4%,45.3%,0.8%,5.4%,,1.0%,0.3%
20180618,1111,11110550,235.4%,42.9%,21.9%,28.7%,1.9%,2.7%,0.0%,1.7%,0.2%
20180618,1111,11110560,123.6%,42.6%,23.9%,28.7%,1.2%,2.1%,0.3%,1.0%,0.1%
20180618,1111,11110570,240.5%,28.3%,22.5%,35.5%,5.9%,6.5%,0.1%,1.1%,0.0%
20180618,1111,11110580,135.2%,34.8%,27.0%,29.5%,4.7%,3.6%,,0.3%,0.3%
20180618,1111,11110600,125.1%,26.4%,24.6%,36.2%,3.1%,5.1%,0.5%,3.8%,0.4%
20180618,1111,11110615,210.3%,26.9%,18.3%,39.8%,7.8%,5.3%,0.4%,1.4%,0.2%
20180618,1111,11110630,94.5%,26.3%,15.7%,50.5%,2.1%,3.7%,,1.8%,0.0%
20180618,1111,11110640,123.6%,27.4%,22.8%,36.5%,5.3%,5.1%,0.9%,1.7%,0.1%
20180618,1111,11110650,129.7%,35.1%,19.5%,34.8%,2.7%,4.8%,0.9%,2.1%,0.1%
20180618,1111,11110670,111.6%,39.8%,14.3%,40.9%,0.7%,3.2%,0.1%,1.0%,0.1%
20180618,1111,11110680,101.5%,38.9%,18.1%,37.2%,0.9%,1.9%,1.8%,1.2%,0.0%
20180618,1111,11110690,60.8%,18.5%,23.0%,48.7%,0.1%,4.4%,2.0%,3.3%,0.1%
20180618,1111,11110700,131.3%,39.5%,18.8%,31.2%,5.9%,2.8%,0.3%,1.1%,0.3%
20180618,1111,11110710,119.0%,31.1%,18.0%,39.0%,5.3%,4.5%,0.9%,1.0%,0.2%
20180618,1135,11350560,111.3%,36.7%,19.1%,37.5%,3.0%,3.0%,0.1%,0.5%,0.2%
20180618,1135,11350570,110.3%,35.8%,21.0%,37.7%,1.2%,2.4%,0.8%,0.5%,0.6%
20180618,1135,11350580,112.8%,26.1%,27.0%,41.5%,1.7%,2.4%,0.3%,0.5%,0.4%
20180618,1135,11350595,86.4%,35.3%,19.5%,37.0%,3.3%,3.3%,0.4%,1.0%,0.2%
20180618,1135,11350600,98.0%,34.0%,23.7%,35.3%,1.8%,3.8%,0.5%,0.5%,0.5%
20180618,1135,11350611,166.6%,35.1%,22.9%,36.3%,1.9%,2.2%,0.8%,0.4%,0.3%
20180618,1135,11350612,166.7%,35.8%,25.3%,31.7%,2.8%,2.5%,0.8%,0.5%,0.5%
20180618,1135,11350619,109.4%,29.6%,25.1%,36.4%,3.4%,2.2%,1.3%,1.1%,0.9%
20180618,1135,11350621,75.8%,27.9%,23.1%,43.7%,1.6%,2.4%,0.0%,0.8%,0.4%
20180618,1135,11350624,97.0%,28.3%,21.3%,41.5%,3.8%,3.2%,0.8%,0.5%,0.7%
20180618,1135,11350625,170.4%,33.3%,21.3%,39.9%,1.4%,2.6%,0.6%,0.7%,0.2%
20180618,1135,11350630,93.0%,29.6%,21.2%,42.1%,1.8%,3.2%,0.7%,0.8%,0.6%
20180618,1135,11350640,150.2%,35.7%,19.8%,37.7%,2.0%,3.5%,0.6%,0.5%,0.4%
20180618,1135,11350665,86.7%,51.8%,18.7%,24.0%,1.3%,2.1%,0.6%,0.6%,0.8%
20180618,1135,11350670,89.6%,34.9%,19.5%,39.4%,2.3%,2.0%,0.5%,0.6%,0.9%
20180618,1135,11350695,117.8%,29.3%,23.9%,38.8%,3.3%,3.3%,0.3%,0.4%,0.7%
20180618,1135,11350700,143.6%,35.3%,25.8%,34.5%,1.4%,1.7%,,0.2%,1.1%
20180618,1135,11350710,109.1%,33.2%,21.5%,40.6%,0.7%,2.4%,0.3%,0.5%,0.7%
20180618,1135,11350720,86.4%,31.6%,23.6%,38.7%,1.8%,3.2%,0.3%,0.3%,0.6%
20180619,1111,11110515,79.8%,31.5%,22.8%,37.9%,3.5%,3.6%,0.2%,0.4%,0.2%
20180619,1111,11110530,145.4%,27.1%,21.0%,43.3%,1.7%,5.7%,0.2%,0.4%,0.6%
20180619,1111,11110540,66.8%,22.5%,20.2%,48.7%,2.0%,3.4%,1.6%,1.6%,0.2%
20180619,1111,11110550,213.7%,42.8%,21.0%,30.2%,1.3%,2.8%,0.5%,1.1%,0.4%
20180619,1111,11110560,107.6%,43.9%,21.3%,28.5%,2.2%,3.0%,,0.7%,0.3%
20180619,1111,11110570,237.4%,32.8%,21.2%,33.7%,5.6%,4.9%,0.3%,1.5%,0.1%
20180619,1111,11110580,95.7%,31.0%,24.9%,34.5%,5.6%,2.3%,,1.7%,0.0%
20180619,1111,11110600,117.6%,28.6%,18.8%,42.6%,1.8%,5.5%,0.4%,1.6%,0.7%
20180619,1111,11110615,177.8%,27.8%,18.2%,44.3%,3.2%,5.1%,0.3%,1.1%,0.1%
20180619,1111,11110630,102.4%,28.5%,16.8%,45.8%,1.8%,4.8%,1.2%,1.2%,0.0%
20180619,1111,11110640,126.9%,24.7%,19.0%,41.2%,7.2%,5.2%,0.4%,2.2%,0.2%
20180619,1111,11110650,114.2%,34.4%,19.3%,36.3%,2.9%,4.7%,0.6%,1.7%,0.1%
20180619,1111,11110670,100.2%,36.2%,17.7%,39.8%,1.1%,2.8%,,2.3%,0.0%
20180619,1111,11110680,102.9%,44.2%,11.4%,35.8%,4.1%,4.5%,0.1%,,
20180619,1111,11110690,58.2%,25.4%,20.9%,46.9%,0.1%,2.9%,1.9%,1.9%,
20180619,1111,11110700,116.4%,36.9%,18.2%,36.7%,2.7%,3.5%,1.0%,0.8%,0.2%
20180619,1111,11110710,108.8%,33.2%,17.2%,38.3%,4.9%,4.4%,0.4%,1.4%,0.2%
20180619,1135,11350560,99.7%,35.5%,18.8%,37.3%,3.5%,3.3%,0.2%,0.9%,0.3%
20180619,1135,11350570,99.1%,33.9%,21.4%,39.4%,1.4%,2.4%,0.6%,0.4%,0.4%
20180619,1135,11350580,102.2%,26.8%,24.3%,43.2%,1.6%,3.2%,0.2%,0.1%,0.6%
20180619,1135,11350595,72.9%,32.6%,18.1%,41.2%,2.1%,3.9%,0.5%,1.2%,0.5%
20180619,1135,11350600,85.5%,31.4%,21.7%,38.5%,2.1%,3.8%,0.7%,1.0%,0.8%
20180619,1135,11350611,149.8%,34.2%,20.4%,37.3%,3.2%,3.0%,0.6%,1.0%,0.4%
20180619,1135,11350612,128.5%,34.2%,24.8%,33.6%,1.9%,3.8%,0.2%,0.9%,0.5%
20180619,1135,11350619,98.3%,31.2%,19.8%,42.7%,1.0%,3.9%,0.8%,0.2%,0.5%
20180619,1135,11350621,82.6%,31.0%,21.2%,41.1%,2.2%,3.2%,0.2%,0.8%,0.3%
20180619,1135,11350624,86.7%,28.9%,21.5%,40.8%,4.7%,2.2%,0.1%,1.4%,0.5%
20180619,1135,11350625,133.9%,31.3%,19.9%,42.4%,0.8%,3.0%,1.1%,1.1%,0.3%
20180619,1135,11350630,86.9%,27.8%,20.0%,44.9%,2.6%,3.1%,0.6%,0.8%,0.3%
20180619,1135,11350640,123.1%,32.9%,18.2%,41.3%,2.3%,3.7%,0.5%,0.6%,0.4%
20180619,1135,11350665,74.6%,39.2%,16.9%,35.5%,1.8%,2.5%,0.1%,3.6%,0.3%
20180619,1135,11350670,76.7%,35.8%,17.1%,41.1%,2.1%,2.9%,0.4%,0.3%,0.3%
20180619,1135,11350695,98.5%,27.4%,21.6%,40.6%,4.8%,4.0%,0.4%,0.7%,0.4%
20180619,1135,11350700,114.5%,37.0%,17.2%,40.9%,1.3%,2.2%,,0.2%,1.1%
20180619,1135,11350710,102.6%,31.0%,23.7%,40.8%,0.8%,2.2%,0.7%,0.5%,0.4%
20180619,1135,11350720,79.1%,31.9%,20.7%,41.6%,1.6%,3.4%,0.1%,0.3%,0.3%
20180620,1111,11110515,90.4%,28.9%,24.7%,40.5%,2.2%,2.3%,0.4%,0.6%,0.4%
20180620,1111,11110530,152.8%,26.2%,20.6%,43.7%,1.6%,5.2%,1.0%,1.3%,0.3%
20180620,1111,11110540,66.8%,13.8%,27.1%,53.8%,1.8%,2.8%,,0.7%,0.1%
20180620,1111,11110550,205.3%,40.6%,22.1%,31.0%,1.9%,2.6%,0.3%,1.1%,0.4%
20180620,1111,11110560,107.1%,40.8%,23.9%,27.4%,2.2%,3.0%,1.4%,1.0%,0.3%
20180620,1111,11110570,214.9%,28.9%,23.6%,37.7%,1.8%,6.4%,0.2%,1.0%,0.4%
20180620,1111,11110580,98.4%,29.8%,23.6%,34.7%,5.3%,6.2%,,0.3%,0.0%
20180620,1111,11110600,124.1%,28.1%,20.5%,39.5%,3.5%,4.1%,1.1%,2.8%,0.3%
20180620,1111,11110615,191.3%,27.4%,18.1%,44.2%,2.3%,5.4%,0.5%,1.8%,0.2%
20180620,1111,11110630,106.5%,25.9%,18.3%,46.6%,2.3%,5.4%,0.6%,1.0%,
20180620,1111,11110640,115.6%,27.0%,19.4%,40.6%,4.7%,6.5%,0.2%,1.5%,0.3%
20180620,1111,11110650,125.6%,33.6%,17.9%,37.2%,4.3%,4.4%,0.4%,2.0%,0.1%
20180620,1111,11110670,92.0%,38.9%,17.9%,37.5%,0.6%,3.5%,1.3%,,0.3%
20180620,1111,11110680,121.6%,45.9%,11.8%,36.5%,1.4%,2.8%,0.8%,0.8%,
20180620,1111,11110690,57.1%,18.5%,19.8%,54.9%,0.4%,4.6%,1.4%,0.3%,0.1%
20180620,1111,11110700,124.7%,36.4%,17.5%,35.2%,5.1%,3.1%,0.9%,1.7%,0.2%
20180620,1111,11110710,115.3%,29.9%,18.5%,40.1%,5.0%,4.7%,0.7%,1.0%,0.2%
20180620,1135,11350560,105.9%,36.1%,20.3%,36.9%,2.6%,2.8%,0.3%,0.8%,0.2%
20180620,1135,11350570,100.9%,35.8%,20.3%,37.6%,2.4%,2.9%,0.4%,0.1%,0.6%
20180620,1135,11350580,107.3%,26.0%,25.7%,41.8%,2.0%,3.6%,0.1%,0.2%,0.7%
20180620,1135,11350595,76.5%,32.8%,19.1%,40.6%,2.0%,3.8%,0.8%,0.7%,0.2%
20180620,1135,11350600,87.3%,32.3%,21.0%,38.8%,2.2%,3.8%,0.8%,0.7%,0.4%
20180620,1135,11350611,154.0%,31.6%,21.4%,39.2%,3.3%,2.8%,0.5%,0.9%,0.4%
20180620,1135,11350612,128.9%,33.7%,28.6%,32.0%,0.9%,1.7%,1.2%,1.6%,0.4%
20180620,1135,11350619,109.0%,28.1%,24.3%,41.5%,1.0%,2.9%,0.1%,1.5%,0.6%
20180620,1135,11350621,81.5%,30.5%,20.0%,43.1%,2.4%,2.4%,0.7%,0.5%,0.3%
20180620,1135,11350624,86.1%,28.1%,18.5%,44.2%,4.0%,4.1%,0.4%,0.5%,0.2%
20180620,1135,11350625,144.5%,31.4%,19.3%,43.6%,1.0%,2.0%,1.0%,0.9%,0.7%
20180620,1135,11350630,86.4%,28.1%,20.0%,43.9%,2.4%,3.4%,1.1%,0.8%,0.3%
20180620,1135,11350640,126.5%,32.7%,18.2%,40.9%,2.1%,3.8%,0.5%,1.2%,0.6%
20180620,1135,11350665,77.8%,46.8%,20.6%,25.4%,2.8%,3.6%,0.2%,0.7%,
20180620,1135,11350670,76.0%,35.2%,18.6%,39.2%,2.1%,2.7%,0.8%,0.9%,0.6%
20180620,1135,11350695,104.2%,27.5%,22.0%,41.6%,3.6%,3.3%,0.5%,0.7%,0.7%
20180620,1135,11350700,128.5%,35.3%,17.8%,42.3%,0.3%,1.8%,1.3%,0.4%,0.9%
20180620,1135,11350710,102.2%,31.7%,20.5%,41.8%,1.8%,2.7%,0.5%,0.5%,0.6%
20180620,1135,11350720,83.5%,29.5%,22.9%,41.0%,1.4%,4.3%,0.3%,0.4%,0.2%
20180621,1111,11110515,83.2%,27.9%,25.0%,40.2%,2.5%,2.6%,0.6%,0.7%,0.5%
20180621,1111,11110530,157.1%,25.0%,24.8%,41.6%,1.4%,5.6%,0.2%,0.9%,0.4%
20180621,1111,11110540,62.0%,13.7%,29.3%,44.4%,3.6%,6.3%,,2.2%,0.5%
20180621,1111,11110550,188.5%,37.7%,20.1%,30.9%,5.8%,3.4%,0.2%,1.6%,0.3%
20180621,1111,11110560,102.8%,39.4%,20.4%,32.9%,1.6%,3.2%,,2.2%,0.3%
20180621,1111,11110570,220.1%,27.4%,22.9%,37.0%,3.0%,8.2%,1.1%,0.5%,0.1%
20180621,1111,11110580,84.6%,32.4%,19.0%,33.8%,4.8%,6.5%,1.6%,1.7%,0.1%
20180621,1111,11110600,126.8%,27.1%,20.6%,37.2%,5.1%,5.7%,0.2%,3.9%,0.2%
20180621,1111,11110615,195.6%,27.7%,18.1%,44.0%,2.3%,5.7%,0.4%,1.5%,0.4%
20180621,1111,11110630,108.6%,25.0%,16.4%,49.5%,3.1%,3.5%,0.2%,2.2%,0.1%
20180621,1111,11110640,115.7%,27.2%,18.4%,42.9%,2.8%,6.1%,,2.0%,0.6%
20180621,1111,11110650,121.9%,32.0%,20.2%,37.2%,2.0%,4.7%,1.2%,2.5%,0.1%
20180621,1111,11110670,95.5%,33.5%,17.9%,44.1%,1.4%,2.2%,0.1%,0.7%,0.2%
20180621,1111,11110680,105.5%,41.9%,13.1%,37.1%,1.4%,4.1%,,2.3%,0.1%
20180621,1111,11110690,56.2%,23.9%,26.7%,47.6%,,2.2%,,-0.5%,
20180621,1111,11110700,117.8%,34.7%,19.1%,35.2%,6.1%,3.8%,0.2%,0.7%,0.1%
20180621,1111,11110710,118.7%,29.0%,17.4%,40.0%,6.9%,5.2%,0.5%,0.7%,0.2%
20180621,1135,11350560,103.8%,30.8%,21.8%,39.0%,2.6%,4.3%,0.5%,0.5%,0.5%
20180621,1135,11350570,101.8%,34.9%,19.4%,38.8%,1.7%,2.2%,0.8%,1.2%,0.9%
20180621,1135,11350580,108.4%,26.8%,21.2%,45.0%,2.6%,3.0%,0.4%,0.4%,0.6%
20180621,1135,11350595,81.8%,31.0%,16.5%,40.7%,4.1%,3.8%,1.0%,1.1%,1.6%
20180621,1135,11350600,88.0%,29.0%,22.2%,40.6%,1.7%,4.1%,0.5%,1.2%,0.6%
20180621,1135,11350611,147.2%,28.3%,21.4%,41.1%,2.3%,2.8%,0.8%,1.3%,2.0%
